epoch,temperature
1551398400,21.50
1551402000,21.40
1551405600,21.30
1551409200,21.34
1551412800,21.20
1551416400,21.21
1551420000,22.40
1551423600,22.25
1551427200,22.15
1551430800,21.92
1551434400,21.84
1551438000,22.09
1551441600,23.05
1551445200,22.63
1551448800,22.43
1551452400,22.12
1551456000,22.08
1551459600,22.00
1551463200,22.01
1551466800,22.02
1551470400,22.02
1551474000,22.03
1551477600,21.99
1551481200,21.73
1551484800,21.56
1551488400,21.36
1551492000,21.22
1551495600,21.04
1551499200,20.86
1551502800,20.91
1551506400,21.66
1551510000,21.89
1551513600,22.07
1551517200,21.99
1551520800,21.88
1551524400,21.95
1551528000,22.74
1551531600,22.75
1551535200,23.42
1551538800,23.64
1551542400,23.29
1551546000,22.69
1551549600,22.50
1551553200,22.39
1551556800,22.36
1551560400,22.29
1551564000,22.12
1551567600,22.01
1551571200,21.78
1551574800,21.54
1551578400,21.29
1551582000,21.09
1551585600,20.95
1551589200,21.07
1551592800,22.31
1551596400,22.29
1551600000,22.31
1551603600,22.20
1551607200,22.11
1551610800,22.16
1551614400,23.36
1551618000,23.38
1551621600,23.63
1551625200,23.71
1551628800,23.50
1551632400,23.15
1551636000,22.97
1551639600,22.95
1551643200,22.89
1551646800,22.85
1551650400,22.79
1551654000,22.73
1551657600,22.42
1551661200,22.09
1551664800,21.79
1551668400,21.59
1551672000,21.34
1551675600,21.45
1551679200,22.93
1551682800,23.20
1551686400,23.40
1551690000,23.21
1551693600,23.06
1551697200,23.06
1551700800,23.71
1551704400,23.39
1551708000,23.27
1551711600,23.39
1551715200,23.02
1551718800,22.63
1551722400,22.43
1551726000,22.26
1551729600,22.29
1551733200,22.32
1551736800,22.20
1551740400,22.08
1551744000,21.95
1551747600,21.80
1551751200,21.60
1551754800,21.41
1551758400,21.25
1551762000,21.37
1551765600,22.48
1551769200,22.45
1551772800,22.23
1551776400,22.13
1551780000,22.10
1551783600,22.31
1551787200,22.98
1551790800,22.96
1551794400,22.92
1551798000,22.55
1551801600,22.25
1551805200,22.07
1551808800,21.96
1551812400,21.91
1551816000,21.98
1551819600,22.01
1551823200,21.88
1551826800,21.71
1551830400,21.53
1551834000,21.35
1551837600,21.19
1551841200,21.03
1551844800,20.88
1551848400,20.96
1551852000,21.76
1551855600,21.72
1551859200,21.72
1551862800,21.70
1551866400,21.65
1551870000,21.69
1551873600,22.10
1551877200,22.31
1551880800,22.80
1551884400,22.94
1551888000,22.74
1551891600,22.33
1551895200,22.13
1551898800,22.01
1551902400,22.07
1551906000,22.06
1551909600,21.91
1551913200,21.79
1551916800,21.72
1551920400,21.60
1551924000,21.44
1551927600,21.31
1551931200,21.19
1551934800,21.33
1551938400,22.39
1551942000,22.43
1551945600,22.24
1551949200,22.20
1551952800,22.08
1551956400,22.14
1551960000,22.78
1551963600,22.57
1551967200,22.31
1551981600,22.05
1551985200,22.00
1551988800,22.04
1551992400,22.12
1551996000,22.18
1551999600,22.08
1552003200,21.92
1552006800,21.81
1552010400,21.71
1552014000,21.65
1552017600,21.58
1552021200,21.63
1552024800,22.07
1552028400,22.14
1552032000,22.35
1552035600,22.26
1552039200,22.10
1552042800,22.20
1552046400,22.78
1552050000,22.81
1552053600,23.95
1552057200,23.72
1552060800,23.72
1552064400,23.04
1552068000,22.61
1552071600,22.53
1552075200,22.62
1552078800,22.78
1552082400,22.62
1552086000,22.41
1552089600,22.42
1552093200,22.30
1552096800,22.12
1552100400,21.97
1552104000,21.85
1552107600,21.99
1552111200,22.98
1552114800,22.89
1552118400,22.97
1552122000,23.20
1552125600,22.98
1552129200,22.89
1552132800,23.43
1552136400,23.27
1552140000,23.47
1552143600,23.84
1552147200,23.42
1552150800,23.03
1552154400,22.87
1552158000,22.80
1552161600,22.85
1552165200,22.88
1552168800,22.75
1552172400,22.77
1552176000,22.82
1552179600,22.51
1552183200,22.23
1552186800,22.00
1552190400,21.84
1552194000,21.99
1552197600,23.24
1552201200,23.21
1552204800,23.33
1552208400,23.24
1552212000,23.15
1552215600,22.97
1552219200,23.36
1552222800,23.74
1552226400,23.60
1552230000,23.38
1552233600,23.40
1552237200,23.66
1552240800,23.42
1552244400,23.20
1552248000,23.28
1552251600,23.17
1552255200,22.96
1552258800,23.17
1552262400,22.97
1552266000,22.71
1552269600,22.47
1552273200,22.28
1552276800,22.16
1552280400,22.36
1552284000,23.70
1552287600,23.59
1552291200,23.58
1552294800,23.43
1552298400,23.36
1552302000,23.37
1552305600,24.08
1552309200,23.82
1552312800,23.60
1552316400,23.55
1552320000,23.17
1552323600,22.98
1552327200,23.05
1552330800,22.96
1552334400,23.08
1552338000,23.10
1552341600,22.77
1552345200,22.60
1552348800,22.44
1552352400,22.22
1552356000,22.00
1552359600,21.77
1552363200,21.54
1552366800,21.60
1552370400,22.81
1552374000,22.53
1552377600,23.56
1552381200,23.65
1552384800,23.18
1552388400,22.71
1552392000,22.52
1552395600,22.69
1552399200,23.54
1552402800,24.94
1552406400,25.18
1552410000,24.44
1552413600,23.54
1552417200,23.22
1552420800,23.10
1552424400,23.05
1552428000,22.89
1552431600,22.61
1552435200,22.41
1552438800,22.28
1552442400,22.02
1552446000,21.78
1552449600,21.57
1552453200,21.65
1552456800,22.77
1552460400,22.79
1552464000,22.65
1552467600,22.58
1552471200,22.58
1552474800,22.80
1552478400,23.40
1552482000,23.16
1552485600,23.06
1552489200,22.99
1552492800,22.90
1552496400,22.92
1552500000,22.78
1552503600,22.76
1552507200,22.79
1552510800,22.99
1552514400,22.83
1552518000,22.61
1552521600,22.32
1552525200,22.03
1552528800,21.83
1552532400,21.60
1552536000,21.32
1552539600,21.30
1552543200,22.57
1552546800,22.66
1552550400,22.47
1552554000,22.31
1552557600,22.26
1552561200,22.16
1552564800,22.32
1552568400,22.77
1552572000,22.77
1552575600,22.63
1552579200,22.59
1552582800,22.54
1552586400,22.46
1552590000,22.24
1552593600,22.33
1552597200,22.48
1552600800,22.47
1552604400,22.05
1552608000,21.87
1552611600,21.69
1552615200,21.47
1552618800,21.23
1552622400,21.03
1552626000,21.16
1552629600,22.51
1552633200,22.45
1552636800,22.34
1552640400,22.22
1552644000,22.09
1552647600,22.17
1552651200,22.96
1552654800,22.92
1552658400,23.20
1552662000,23.01
1552665600,23.67
1552669200,23.17
1552672800,22.96
1552676400,22.85
1552680000,22.82
1552683600,22.75
1552687200,22.65
1552690800,22.51
1552694400,22.31
1552698000,22.12
1552701600,21.90
1552705200,21.67
1552708800,21.50
1552712400,21.61
1552716000,22.78
1552719600,22.85
1552723200,22.67
1552726800,22.60
1552730400,22.59
1552734000,22.75
1552737600,23.22
1552741200,23.47
1552744800,23.60
1552748400,23.53
1552752000,23.49
1552755600,23.28
1552759200,23.00
1552762800,22.92
1552766400,23.03
1552770000,23.06
1552773600,22.94
1552777200,22.75
1552780800,22.41
1552784400,22.24
1552788000,22.10
1552791600,21.93
1552795200,21.80
1552798800,21.98
1552802400,23.09
1552806000,23.03
1552809600,22.82
1552813200,22.70
1552816800,22.59
1552820400,22.78
1552824000,23.38
1552827600,23.31
1552831200,23.12
1552834800,23.60
1552838400,23.37
1552842000,22.96
1552845600,22.86
1552849200,22.95
1552852800,22.98
1552856400,23.09
1552860000,23.02
1552863600,22.82
1552867200,22.70
1552870800,22.64
1552874400,22.49
1552878000,22.35
1552881600,22.21
1552885200,22.36
1552888800,23.27
1552892400,23.18
1552896000,22.98
1552899600,22.85
1552903200,22.64
1552906800,22.60
1552910400,23.09
1552914000,22.78
1552917600,22.51
1552921200,22.39
1552924800,22.29
1552928400,22.23
1552932000,22.27
1552935600,22.25
1552942800,22.29
1552946400,22.15
1552950000,21.91
1552953600,21.77
1552957200,21.59
1552960800,21.35
1552964400,21.09
1552968000,20.86
1552971600,20.98
1552975200,22.42
1552978800,22.31
1552982400,22.35
1552986000,21.96
1552989600,21.91
1552993200,22.01
1552996800,22.55
1553000400,22.65
1553004000,22.86
1553007600,23.32
1553011200,22.81
1553014800,22.51
1553018400,22.25
1553022000,22.14
1553025600,22.14
1553029200,22.05
1553032800,21.87
1553036400,21.66
1553040000,21.51
1553043600,21.27
1553047200,21.03
1553050800,20.77
1553054400,20.52
1553058000,20.66
1553061600,22.06
1553065200,22.09
1553068800,22.14
1553072400,21.82
1553076000,21.63
1553079600,21.73
1553083200,22.70
1553086800,22.71
1553090400,23.17
1553094000,23.60
1553097600,23.78
1553101200,23.34
1553104800,22.81
1553108400,22.66
1553112000,22.45
1553119200,21.97
1553122800,21.84
1553126400,21.63
1553130000,21.43
1553133600,21.21
1553137200,21.04
1553140800,20.86
1553144400,20.95
1553148000,22.29
1553151600,22.28
1553155200,22.29
1553158800,22.15
1553162400,22.02
1553166000,22.11
1553169600,23.00
1553173200,23.01
1553176800,23.25
1553180400,23.58
1553184000,23.52
1553187600,23.22
1553191200,22.87
1553194800,22.80
1553198400,22.68
1553202000,22.56
1553205600,22.39
1553209200,22.24
1553212800,22.01
1553216400,21.82
1553220000,21.64
1553223600,21.44
1553227200,21.24
1553230800,21.33
1553234400,22.72
1553238000,22.68
1553241600,22.41
1553245200,22.24
1553248800,22.16
1553252400,22.35
1553256000,23.15
1553259600,22.85
1553263200,23.11
1553266800,23.64
1553270400,23.72
1553274000,23.23
1553277600,22.60
1553281200,22.37
1553284800,22.60
1553288400,22.78
1553292000,22.68
1553295600,22.58
1553299200,22.47
1553302800,22.27
1553306400,22.15
1553310000,22.03
1553313600,21.89
1553317200,22.00
1553320800,22.90
1553324400,22.94
1553328000,22.91
1553331600,22.85
1553335200,22.89
1553338800,22.93
1553342400,22.95
1553346000,23.22
1553349600,24.15
1553353200,24.68
1553356800,24.90
1553360400,24.36
1553364000,23.62
1553367600,23.27
1553371200,23.07
1553374800,22.37
1553378400,22.61
1553382000,22.76
1553385600,22.74
1553389200,22.57
1553392800,22.44
1553396400,22.33
1553400000,22.21
1553403600,22.11
1553407200,22.24
1553410800,23.24
1553414400,23.44
1553418000,23.25
1553421600,23.00
1553425200,22.78
1553428800,22.66
1553432400,22.80
1553436000,23.64
1553439600,24.88
1553443200,25.09
1553446800,24.59
1553450400,23.82
1553454000,23.57
1553457600,23.45
1553461200,23.42
1553464800,23.38
1553468400,23.07
1553472000,22.81
1553479200,22.53
1553482800,22.43
1553486400,22.32
1553490000,22.48
1553493600,23.40
1553497200,23.27
1553500800,23.36
1553504400,23.35
1553508000,23.36
1553511600,23.42
1553515200,23.79
1553518800,23.86
1553522400,24.26
1553526000,24.76
1553529600,24.85
1553533200,24.41
1553536800,24.06
1553540400,23.85
1553544000,24.81
1553547600,25.02
1553551200,24.49
1553554800,24.24
1553558400,23.89
1553562000,23.58
1553565600,23.25
1553569200,23.01
1553572800,22.78
1553576400,22.84
1553580000,24.40
1553583600,24.74
1553587200,24.96
1553590800,24.57
1553594400,24.14
1553598000,23.96
1553601600,24.87
1553605200,24.85
1553608800,25.36
1553612400,26.08
1553616000,26.30
1553619600,25.97
1553623200,25.21
1553626800,24.77
1553630400,24.73
1553634000,24.64
1553637600,24.50
1553641200,24.28
1553644800,23.83
1553648400,23.41
1553652000,23.08
1553655600,22.78
1553659200,22.55
1553662800,22.64
1553666400,24.19
1553670000,24.37
1553673600,24.49
1553677200,24.15
1553680800,23.87
1553684400,23.99
1553688000,24.71
1553691600,24.18
1553695200,23.68
1553698800,23.40
1553702400,23.61
1553706000,23.75
1553709600,23.17
1553720400,23.57
1553724000,23.19
1553727600,22.82
1553731200,22.52
1553734800,22.22
1553738400,21.86
1553742000,21.57
1553745600,21.33
1553749200,21.45
1553752800,23.00
1553756400,23.19
1553760000,23.32
1553763600,23.00
1553767200,22.58
1553770800,22.60
1553774400,23.31
1553778000,23.65
1553781600,24.11
1553785200,24.66
1553788800,25.04
1553792400,24.45
1553796000,23.58
1553799600,24.03
1553803200,24.46
1553806800,24.11
1553810400,23.77
1553814000,23.50
1553817600,23.24
1553821200,22.97
1553832000,22.27
1553835600,22.35
1553839200,24.07
1553842800,24.67
1553846400,24.56
1553850000,24.24
1553853600,24.13
1553857200,24.13
1553860800,25.21
1553864400,24.92
1553868000,25.48
1553871600,25.95
1553875200,25.88
1553878800,25.33
1553882400,25.38
1553886000,25.54
1553889600,25.65
1553893200,25.53
1553896800,25.24
1553900400,25.07
1553904000,24.75
1553907600,24.30
1553911200,24.01
1553914800,23.73
1553918400,23.46
1553922000,23.52
1553925600,24.93
1553929200,25.16
1553932800,25.37
1553936400,25.01
1553940000,24.65
1553943600,24.59
1553947200,25.62
1553950800,25.32
1553954400,25.47
1553958000,25.92
1553961600,26.21
1553965200,25.71
1553968800,25.75
1553972400,25.66
1553976000,25.40
1553979600,25.34
1553983200,25.26
1553986800,25.11
1553990400,24.93
1553994000,24.72
1553997600,24.41
1554001200,24.14
1554004800,24.17
1554008400,25.57
1554012000,25.64
1554015600,25.71
1554019200,25.39
1554022800,25.20
1554026400,25.29
1554030000,25.99
1554033600,25.82
1554037200,25.74
1554040800,26.16
1554044400,26.70
1554048000,27.04
1554051600,26.63
1554055200,25.78
1554058800,26.10
1554062400,25.96
1554066000,25.41
1554069600,25.13
1554073200,25.02